Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,55.5,55.9,55.15,55.9,55.9,375387
2010-01-05,56.0,56.0,54.2,54.7,54.7,644960
2010-01-06,55.1,56.2,55.1,55.75,55.75,570110
2010-01-07,55.8,56.95,55.55,56.7,56.7,466062
2010-01-08,56.55,57.7,56.15,56.9,56.9,852899
2010-01-11,57.0,57.5,56.55,56.75,56.75,440277
2010-01-12,57.5,57.85,56.95,57.15,57.15,756703
2010-01-13,57.7,57.85,57.15,57.75,57.75,560318
2010-01-14,58.0,58.45,57.7,58.0,58.0,622530
2010-01-15,58.35,58.5,57.45,57.6,57.6,601299
2010-01-18,57.8,57.85,55.7,55.7,55.7,797145
2010-01-19,55.6,56.15,54.6,56.05,56.05,1013160
2010-01-20,56.0,56.75,56.0,56.45,56.45,710704
2010-01-21,56.75,56.75,55.65,55.75,55.75,680380
2010-01-22,55.65,55.8,54.5,54.8,54.8,431074
2010-01-25,54.5,55.05,54.3,55.0,55.0,393195
2010-01-26,54.7,55.6,54.55,55.6,55.6,359309
2010-01-27,55.25,55.8,55.2,55.65,55.65,315105
2010-01-28,55.9,56.6,55.45,55.55,55.55,461524
2010-01-29,55.85,56.35,55.05,56.3,56.3,458114
2010-02-01,56.05,57.4,55.7,56.8,56.8,679917
2010-02-02,57.05,57.3,56.7,57.0,57.0,256732
2010-02-03,57.25,57.25,56.6,57.0,57.0,333281
2010-02-04,56.8,56.9,55.45,55.65,55.65,417688
2010-02-05,55.05,55.35,53.9,53.9,53.9,626247
2010-02-08,53.75,54.85,53.7,54.75,54.75,337495
2010-02-09,54.45,54.8,53.6,53.65,53.65,297136
2010-02-10,53.75,54.25,53.35,53.45,53.45,391824
2010-02-11,53.75,54.35,53.55,53.9,53.9,403814
2010-02-12,54.3,54.35,52.5,52.6,52.6,633418
2010-02-15,53.05,53.1,52.7,52.95,52.95,300949
2010-02-16,53.25,53.5,52.85,53.3,53.3,385692
2010-02-17,53.8,53.8,53.1,53.2,53.2,468768
2010-02-18,53.85,53.85,51.95,53.15,53.15,686298
2010-02-19,53.4,54.25,52.75,54.05,54.05,1844217
2010-02-22,54.5,55.95,54.3,54.85,54.85,881478
2010-02-23,55.15,56.0,55.0,55.45,55.45,656705
2010-02-24,55.9,55.9,54.55,55.0,55.0,523355
2010-02-25,54.65,55.5,53.9,54.3,54.3,517347
2010-02-26,54.75,54.85,54.2,54.75,54.75,553480
2010-03-01,45.5,47.5,44.4,45.9,45.9,8143826
2010-03-02,46.2,47.68,45.75,47.67,47.67,2407440
2010-03-03,47.98,48.35,47.26,47.47,47.47,1483489
2010-03-04,47.34,47.44,46.64,47.25,47.25,1232106
2010-03-05,47.76,47.94,47.31,47.8,47.8,1100977
2010-03-08,48.0,48.0,47.28,47.61,47.61,721861
2010-03-09,47.96,47.99,47.47,47.85,47.85,846656
2010-03-10,47.47,48.25,47.25,48.1,48.1,1066221
2010-03-11,48.29,48.62,47.81,47.9,47.9,608974
2010-03-12,48.0,48.06,47.35,47.6,47.6,837591
2010-03-15,47.42,47.73,47.09,47.25,47.25,897881
2010-03-16,47.59,47.65,47.12,47.18,47.18,609162
2010-03-17,47.22,47.42,46.86,46.87,46.87,1118668
2010-03-18,46.81,47.35,46.76,47.23,47.23,717538
2010-03-19,47.57,47.66,47.02,47.55,47.55,1742809
2010-03-22,47.31,47.81,47.22,47.5,47.5,555862
2010-03-23,47.45,47.69,47.13,47.2,47.2,686558
2010-03-24,47.02,47.48,47.02,47.22,47.22,581056
2010-03-25,47.41,47.5,47.14,47.18,47.18,393429
2010-03-26,47.32,47.41,47.05,47.19,47.19,875597
2010-03-29,47.25,47.4,47.02,47.2,47.2,503109
2010-03-30,47.15,47.84,47.11,47.7,47.7,1142671
2010-03-31,47.82,48.3,47.74,47.97,47.97,971349
2010-04-01,48.15,48.67,48.0,48.25,48.25,873092
2010-04-06,48.98,49.58,48.9,49.44,49.44,1159249
2010-04-07,49.75,49.9,49.24,49.49,49.49,923488
2010-04-08,49.3,49.39,48.89,49.23,49.23,743819
2010-04-09,49.5,50.4,49.47,49.85,49.85,731421
2010-04-12,50.0,50.1,48.94,48.94,48.94,694157
2010-04-13,49.0,49.0,48.58,48.58,48.58,575587
2010-04-14,48.75,48.83,48.27,48.34,48.34,622248
2010-04-15,48.35,48.45,48.0,48.01,48.01,622672
2010-04-16,48.53,48.59,47.61,47.8,47.8,1231590
2010-04-19,47.51,47.78,47.2,47.56,47.56,644812
2010-04-20,47.5,48.09,47.5,47.74,47.74,514515
2010-04-21,47.9,47.9,47.5,47.51,47.51,563871
2010-04-22,47.7,47.7,46.02,46.2,46.2,1223180
2010-04-23,46.38,46.5,46.22,46.39,46.39,766586
2010-04-26,46.6,46.64,45.76,45.8,45.8,624565
2010-04-27,45.75,45.85,44.36,44.36,44.36,818648
2010-04-28,43.95,44.14,42.71,43.81,43.81,1520132
2010-04-29,44.03,44.2,43.31,44.2,44.2,1001853
2010-04-30,44.0,44.59,43.76,43.85,43.85,655570
2010-05-03,43.8,44.3,43.8,44.21,44.21,367694
2010-05-04,44.65,45.22,44.11,44.33,44.33,1087837
2010-05-05,44.25,44.35,42.98,43.11,43.11,933323
2010-05-06,42.75,42.94,42.2,42.7,42.7,923993
2010-05-07,41.7,41.96,40.48,40.98,40.98,1275148
2010-05-10,41.6,42.62,41.3,42.47,42.47,835258
2010-05-11,42.19,42.55,41.68,42.1,42.1,497607
2010-05-12,42.08,42.85,41.77,42.5,42.5,684695
2010-05-14,42.77,42.89,41.66,41.66,41.66,596346
2010-05-17,41.32,41.55,40.52,40.64,40.64,833242
2010-05-18,41.0,41.17,40.77,40.92,40.92,689533
2010-05-19,40.6,41.14,40.43,40.68,40.68,587960
2010-05-20,40.95,41.22,40.38,40.82,40.82,767983
2010-05-21,40.72,40.86,40.18,40.72,40.72,1069862
2010-05-25,40.45,40.6,40.0,40.2,40.2,895191
2010-05-26,40.4,42.19,40.37,41.53,41.53,1428399
2010-05-27,41.94,42.0,41.39,41.84,41.84,785144
2010-05-28,41.65,42.37,41.65,42.12,42.12,483886
2010-05-31,42.07,42.18,41.84,41.9,41.9,306336
2010-06-01,41.78,42.14,41.49,41.9,41.9,629279
2010-06-02,41.92,42.14,41.58,42.05,42.05,425389
2010-06-03,42.69,42.88,42.41,42.66,42.66,372160
2010-06-04,42.75,43.04,41.81,41.85,41.85,576964
2010-06-07,41.59,41.64,41.19,41.29,41.29,345466
2010-06-08,41.39,41.48,40.66,40.83,40.83,603081
2010-06-09,41.12,41.2,40.81,41.07,41.07,308085
2010-06-10,40.81,41.65,40.8,41.53,41.53,626589
2010-06-11,41.63,42.31,41.51,42.12,42.12,478605
2010-06-14,42.44,42.44,42.11,42.29,42.29,271798
2010-06-15,41.93,42.71,41.89,42.66,42.66,390431
2010-06-16,42.77,43.19,42.5,42.87,42.87,371162
2010-06-17,42.82,42.82,42.24,42.36,42.36,425378
2010-06-18,41.78,42.0,41.42,41.76,41.76,1599757
2010-06-21,42.24,42.24,41.63,41.76,41.76,415567
2010-06-22,41.66,41.98,41.49,41.72,41.72,402087
2010-06-23,41.53,41.81,41.18,41.25,41.25,338833
2010-06-24,41.5,41.5,41.04,41.19,41.19,499936
2010-06-25,41.22,41.61,40.88,41.04,41.04,395735
2010-06-28,41.06,41.15,40.82,41.01,41.01,416987
2010-06-29,40.88,41.1,40.22,40.51,40.51,522524
2010-06-30,40.46,40.75,40.23,40.5,40.5,412198
2010-07-01,40.05,40.31,39.31,39.58,39.58,574190
2010-07-02,39.92,39.92,39.28,39.43,39.43,504245
2010-07-05,39.45,39.86,39.19,39.67,39.67,472702
2010-07-06,39.64,40.76,39.53,40.5,40.5,607436
2010-07-07,40.18,40.63,39.74,40.57,40.57,387673
2010-07-08,40.86,41.21,40.59,40.84,40.84,465649
2010-07-09,41.0,41.0,40.31,40.5,40.5,389788
2010-07-12,40.56,40.65,40.47,40.5,40.5,389614
2010-07-13,40.42,41.01,40.27,40.69,40.69,650309
2010-07-14,40.83,41.14,40.82,40.95,40.95,514278
2010-07-15,40.82,41.08,40.34,40.6,40.6,475592
2010-07-16,40.57,41.11,40.42,40.61,40.61,624924
2010-07-19,40.61,40.79,40.44,40.59,40.59,330104
2010-07-20,41.7,42.79,41.27,41.41,41.41,1169502
2010-07-21,41.75,41.77,40.74,40.95,40.95,604986
2010-07-22,40.71,41.27,40.53,40.9,40.9,576164
2010-07-23,40.89,41.07,40.54,40.99,40.99,375643
2010-07-26,41.24,41.24,40.46,41.0,41.0,458068
2010-07-27,40.99,41.56,40.99,41.48,41.48,490699
2010-07-28,41.72,42.12,41.33,41.46,41.46,605853
2010-07-29,41.45,42.47,41.45,42.01,42.01,645639
2010-07-30,42.07,42.38,41.93,42.13,42.13,465108
2010-08-02,42.48,43.3,42.35,43.11,43.11,464072
2010-08-03,43.3,43.66,43.14,43.52,43.52,411841
2010-08-04,43.49,43.74,43.21,43.53,43.53,426213
2010-08-05,44.06,45.8,44.06,45.77,45.77,1456916
2010-08-06,45.98,46.35,45.69,45.86,45.86,759768
2010-08-09,46.19,46.59,45.96,46.31,46.31,586204
2010-08-10,46.35,46.7,46.02,46.24,46.24,1249580
2010-08-11,45.91,46.05,45.45,45.56,45.56,1029210
2010-08-12,45.55,45.83,45.08,45.28,45.28,840550
2010-08-13,45.41,45.94,45.0,45.25,45.25,744523
2010-08-16,45.37,45.43,44.64,44.8,44.8,742280
2010-08-17,44.81,45.58,44.6,45.18,45.18,708789
2010-08-18,45.25,45.65,45.07,45.21,45.21,538727
2010-08-19,45.5,45.76,45.0,45.21,45.21,1317438
2010-08-20,45.35,45.56,44.55,44.72,44.72,432877
2010-08-23,44.75,45.27,44.7,44.82,44.82,271124
2010-08-24,44.63,45.07,44.22,44.38,44.38,396349
2010-08-25,44.21,44.25,43.54,43.69,43.69,576870
2010-08-26,44.02,44.05,43.32,43.43,43.43,523954
2010-08-27,43.16,43.75,43.0,43.61,43.61,634418
2010-08-30,43.98,44.2,43.68,44.05,44.05,384604
2010-08-31,43.74,43.74,43.33,43.52,43.52,580951
2010-09-01,43.81,44.26,43.54,44.19,44.19,576857
2010-09-02,44.2,44.52,43.69,43.91,43.91,449504
2010-09-03,44.05,44.55,43.43,44.39,44.39,756395
2010-09-06,44.4,45.16,44.4,45.16,45.16,442734
2010-09-07,45.21,45.23,44.77,45.1,45.1,304449
2010-09-08,44.83,45.63,44.83,45.5,45.5,437441
2010-09-09,45.56,46.0,45.46,45.89,45.89,471551
2010-09-10,45.9,46.04,45.9,45.97,45.97,494881
2010-09-13,46.0,46.01,45.7,45.8,45.8,410661
2010-09-14,45.84,45.88,45.55,45.59,45.59,581975
2010-09-15,45.55,45.94,45.37,45.66,45.66,608120
2010-09-16,45.69,46.0,45.46,45.86,45.86,653791
2010-09-17,46.01,46.16,45.72,45.86,45.86,1194870
2010-09-20,45.55,45.7,43.84,44.06,44.06,1298890
2010-09-21,43.87,44.69,43.61,44.49,44.49,927655
2010-09-22,44.5,44.66,44.0,44.0,44.0,474611
2010-09-23,44.23,44.23,43.35,43.58,43.58,582954
2010-09-24,43.57,43.66,42.87,43.46,43.46,795828
2010-09-27,40.85,40.85,39.26,40.0,40.0,3015870
2010-09-28,40.0,40.33,39.61,39.9,39.9,1509445
2010-09-29,39.8,40.1,39.56,39.95,39.95,915637
2010-09-30,39.67,39.99,39.37,39.37,39.37,943606
2010-10-01,39.43,40.08,39.29,39.99,39.99,814958
2010-10-04,39.96,41.72,39.86,41.62,41.62,1812862
