Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,36.46,37.06,36.1,37.06,37.06,761412
2010-01-05,37.0,37.31,36.52,36.6,36.6,952221
2010-01-06,36.3,36.7,35.85,36.22,36.22,1151728
2010-01-07,36.0,36.32,35.62,35.8,35.8,1099437
2010-01-08,36.01,36.89,35.81,36.16,36.16,1151717
2010-01-11,36.22,37.03,36.22,36.6,36.6,1042578
2010-01-12,36.6,36.85,35.89,36.61,36.61,1819831
2010-01-13,36.42,36.74,36.2,36.64,36.64,997651
2010-01-14,37.0,38.28,36.79,37.96,37.96,1857820
2010-01-15,38.2,38.2,37.3,37.69,37.69,1429270
2010-01-18,37.77,38.07,37.45,37.56,37.56,539173
2010-01-19,37.28,37.4,36.08,36.85,36.85,1704015
2010-01-20,36.26,37.03,35.8,36.0,36.0,1616253
2010-01-21,36.39,36.59,35.63,35.63,35.63,1241916
2010-01-22,35.33,36.35,34.67,35.25,35.25,1944174
2010-01-25,36.0,36.62,35.26,36.11,36.11,1753885
2010-01-26,36.2,36.38,35.5,36.26,36.26,1243623
2010-01-27,35.76,36.35,34.96,35.19,35.19,1139522
2010-01-28,35.92,36.24,34.81,35.0,35.0,1045125
2010-01-29,35.0,35.46,34.61,35.26,35.26,952487
2010-02-01,35.04,35.81,34.84,35.29,35.29,824692
2010-02-02,35.45,36.1,35.1,35.23,35.23,1155754
2010-02-03,35.18,35.39,34.04,34.4,34.4,1987882
2010-02-04,34.5,34.7,33.0,33.18,33.18,1547439
2010-02-05,32.5,32.95,31.52,32.13,32.13,1939747
2010-02-08,32.15,32.58,30.65,31.8,31.8,2535074
2010-02-09,32.3,33.4,32.1,32.55,32.55,1518338
2010-02-10,33.34,33.34,32.54,32.77,32.77,903692
2010-02-11,33.11,33.33,31.59,31.88,31.88,1879798
2010-02-12,32.44,32.49,31.27,32.2,32.2,1252216
2010-02-15,32.4,32.54,31.96,32.17,32.17,952144
2010-02-16,32.53,33.0,32.19,32.86,32.86,1113395
2010-02-17,33.34,33.87,33.13,33.7,33.7,1236375
2010-02-18,33.8,34.28,33.47,33.97,33.97,756894
