Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,289.0,290.4,283.6,289.2,289.2,406918
2010-01-05,288.8,291.5,284.1,287.0,287.0,420516
2010-01-06,288.0,290.0,283.4,286.1,286.1,451620
2010-01-07,286.0,290.9,284.5,290.6,290.6,445570
2010-01-08,290.5,290.9,284.5,290.0,290.0,349929
2010-01-11,291.0,291.5,285.7,285.8,285.8,253940
2010-01-12,286.5,289.0,281.6,282.9,282.9,464932
2010-01-13,281.4,282.4,276.0,280.5,280.5,651148
2010-01-14,281.4,283.8,279.1,281.4,281.4,293924
2010-01-15,283.8,283.8,277.0,279.3,279.3,556737
2010-01-18,280.9,281.9,274.4,275.1,275.1,318609
2010-01-19,274.4,279.6,271.1,279.2,279.2,410848
2010-01-20,279.2,281.8,276.9,279.0,279.0,398527
2010-01-21,281.3,281.3,270.5,271.4,271.4,561920
2010-01-22,271.9,273.5,267.6,271.6,271.6,478855
2010-01-25,269.0,272.2,267.7,269.7,269.7,292352
2010-01-26,266.5,271.9,261.4,271.2,271.2,366694
2010-01-27,270.0,271.8,267.7,269.0,269.0,276367
2010-01-28,272.6,275.0,266.9,268.5,268.5,345790
2010-01-29,270.0,276.3,268.4,274.0,274.0,493622
2010-02-01,272.7,275.4,271.5,275.0,275.0,233637
2010-02-02,274.0,274.9,270.7,273.6,273.6,553666
2010-02-03,274.1,280.2,272.0,279.3,279.3,519518
2010-02-04,279.5,280.2,271.5,272.4,272.4,400608
2010-02-05,273.0,279.0,271.0,273.3,273.3,811537
2010-02-08,274.0,279.2,274.0,277.0,277.0,429499
2010-02-09,275.5,279.8,274.3,275.4,275.4,522310
2010-02-10,276.0,276.5,270.3,271.5,271.5,417068
2010-02-11,274.4,276.4,271.3,274.0,274.0,461672
2010-02-12,276.8,279.1,274.8,279.0,279.0,503662
2010-02-15,278.5,280.1,277.4,279.2,279.2,220430
2010-02-16,280.0,282.9,276.3,279.8,279.8,235142
2010-02-17,282.6,284.8,280.3,282.4,282.4,351000
2010-02-18,282.0,283.5,281.3,283.2,283.2,235426
2010-02-19,280.6,283.3,278.7,282.9,282.9,1219310
2010-02-22,283.5,286.7,282.6,283.7,283.7,302887
2010-02-23,284.5,285.0,281.3,283.2,283.2,246853
2010-02-24,283.5,284.2,280.0,281.5,281.5,247805
2010-02-25,279.1,281.5,277.7,279.3,279.3,212948
2010-02-26,277.7,280.1,275.0,278.0,278.0,358528
2010-03-01,279.7,284.3,278.0,284.1,284.1,316911
2010-03-02,286.0,291.0,285.3,290.6,290.6,416968
2010-03-03,289.1,295.2,288.3,295.0,295.0,427837
2010-03-04,293.3,294.5,289.9,292.6,292.6,400109
2010-03-05,293.0,303.7,292.6,302.9,302.9,810695
2010-03-08,304.4,305.5,299.2,302.6,302.6,553093
2010-03-09,301.7,303.0,296.2,299.0,299.0,338312
2010-03-10,298.0,299.9,295.4,299.4,299.4,389423
2010-03-11,297.7,299.7,295.2,296.0,296.0,409241
2010-03-12,299.0,300.0,295.2,296.3,296.3,372595
2010-03-15,296.0,299.6,295.4,297.4,297.4,370913
2010-03-16,297.5,299.7,296.2,297.1,297.1,277763
2010-03-17,297.1,298.2,294.4,295.0,295.0,324868
2010-03-18,292.5,293.9,290.5,291.8,291.8,274932
2010-03-19,293.9,296.0,292.1,294.4,294.4,715262
2010-03-22,294.0,296.0,291.1,296.0,296.0,300734
2010-03-23,295.6,297.8,294.8,296.5,296.5,336391
2010-03-24,298.7,299.8,295.3,296.1,296.1,366277
2010-03-25,295.1,296.6,293.4,294.5,294.5,235188
2010-03-26,293.3,295.1,290.4,291.8,291.8,282104
2010-03-29,293.3,295.8,291.1,293.0,293.0,279095
2010-03-30,293.1,294.6,291.9,292.5,292.5,204805
2010-03-31,292.3,297.6,292.0,292.8,292.8,287072
2010-04-01,294.4,294.5,292.2,293.2,293.2,286195
2010-04-06,294.6,294.8,292.0,292.4,292.4,264980
2010-04-07,293.7,293.7,283.0,284.2,284.2,621507
2010-04-08,281.0,285.7,279.1,285.1,285.1,410208
2010-04-09,286.6,287.8,285.0,286.0,286.0,367616
2010-04-12,288.3,288.4,281.4,282.7,282.7,326163
2010-04-13,280.0,281.2,276.2,278.2,278.2,510253
2010-04-14,278.9,279.9,276.0,277.8,277.8,461303
2010-04-15,278.5,287.0,278.0,285.6,285.6,593264
2010-04-16,286.0,287.4,282.0,283.9,283.9,720495
2010-04-19,283.8,284.9,279.5,279.5,279.5,321491
2010-04-20,279.4,281.2,277.5,279.2,279.2,404229
2010-04-21,284.9,284.9,276.0,277.2,277.2,452711
2010-04-22,275.0,275.0,266.4,268.1,268.1,636741
2010-04-23,268.3,272.7,266.6,271.9,271.9,503189
2010-04-26,272.7,273.1,267.5,269.1,269.1,357560
2010-04-27,268.9,270.5,265.7,267.3,267.3,562673
2010-04-28,266.8,271.0,265.6,265.7,265.7,519559
2010-04-29,266.5,272.3,265.5,272.0,272.0,523458
2010-04-30,273.8,276.8,272.8,274.4,274.4,537939
2010-05-03,275.0,276.0,272.9,274.1,274.1,131623
2010-05-04,273.6,275.6,266.5,267.3,267.3,431043
2010-05-05,268.0,270.0,263.2,266.6,266.6,525347
2010-05-06,265.0,271.0,263.6,266.5,266.5,429078
2010-05-07,262.8,267.0,256.8,260.1,260.1,668022
2010-05-10,265.5,273.5,261.8,272.8,272.8,586690
2010-05-11,270.5,271.7,267.7,270.9,270.9,270213
2010-05-12,271.5,273.2,268.5,270.0,270.0,419356
2010-05-14,272.0,272.3,264.8,265.2,265.2,443320
2010-05-17,265.0,271.2,264.4,268.3,268.3,365645
2010-05-18,270.8,271.5,268.1,269.9,269.9,274655
2010-05-19,267.7,268.6,263.1,264.9,264.9,408271
2010-05-20,267.7,268.1,256.9,259.5,259.5,703843
2010-05-21,257.2,260.5,252.7,260.2,260.2,873057
2010-05-25,254.5,256.8,249.0,255.0,255.0,705707
2010-05-26,260.7,261.5,255.6,258.5,258.5,478290
2010-05-27,258.3,263.2,255.0,261.9,261.9,680897
2010-05-28,263.3,263.3,256.3,256.9,256.9,440535
2010-05-31,256.4,259.2,256.2,256.8,256.8,117509
2010-06-01,256.2,260.6,253.4,258.5,258.5,340801
2010-06-02,258.6,260.6,257.9,259.0,259.0,375763
2010-06-03,261.5,263.4,260.3,261.5,261.5,348071
2010-06-04,262.4,265.6,258.2,258.6,258.6,332753
2010-06-07,256.9,260.6,256.8,258.5,258.5,297431
2010-06-08,257.9,259.9,254.0,255.9,255.9,293298
2010-06-09,256.5,259.7,255.2,259.7,259.7,253607
2010-06-10,260.0,263.9,259.7,262.8,262.8,267182
2010-06-11,264.1,264.2,259.5,260.2,260.2,397188
2010-06-14,263.4,265.3,261.5,264.2,264.2,291415
2010-06-15,262.8,265.4,262.2,263.7,263.7,214601
2010-06-16,265.6,267.8,265.0,267.8,267.8,312183
2010-06-17,267.7,267.7,262.8,263.2,263.2,257724
2010-06-18,265.6,266.0,262.8,264.3,264.3,707837
2010-06-21,267.9,269.4,267.1,268.0,268.0,202599
2010-06-22,266.5,268.4,264.7,265.9,265.9,190922
2010-06-23,263.5,268.2,262.8,264.9,264.9,186263
2010-06-24,265.5,266.2,261.9,263.9,263.9,273066
2010-06-25,263.3,266.7,261.2,262.5,262.5,249822
2010-06-28,260.8,264.7,259.6,263.9,263.9,320312
2010-06-29,259.6,260.1,250.3,250.9,250.9,489948
2010-06-30,251.0,252.8,245.9,250.6,250.6,578821
2010-07-01,247.4,248.2,240.7,242.0,242.0,443759
2010-07-02,242.0,242.4,235.5,236.3,236.3,502416
2010-07-05,235.4,236.0,231.5,232.3,232.3,309547
2010-07-06,233.4,238.4,232.5,234.7,234.7,399622
2010-07-07,231.6,232.7,227.8,229.8,229.8,587897
2010-07-08,232.0,233.2,229.2,229.6,229.6,686738
2010-07-09,232.7,237.7,232.0,236.4,236.4,688324
2010-07-12,238.5,240.0,237.1,237.2,237.2,292374
2010-07-13,237.9,243.4,237.4,243.1,243.1,355670
2010-07-14,244.8,244.9,240.8,243.5,243.5,399998
2010-07-15,242.3,247.2,240.6,243.6,243.6,589117
2010-07-16,246.0,249.1,241.3,242.5,242.5,837244
2010-07-19,240.5,243.3,239.3,240.3,240.3,230466
2010-07-20,242.7,244.2,236.8,239.5,239.5,407947
2010-07-21,240.6,243.9,239.4,242.0,242.0,450343
2010-07-22,234.0,234.0,222.0,229.3,229.3,1399250
2010-07-23,229.0,229.5,223.7,228.5,228.5,855054
2010-07-26,230.0,230.7,227.7,228.8,228.8,437340
2010-07-27,228.9,233.9,227.6,232.6,232.6,595775
2010-07-28,231.2,232.4,227.2,227.6,227.6,569431
2010-07-29,227.4,234.7,227.1,232.4,232.4,630125
2010-07-30,232.2,233.1,228.5,230.0,230.0,511998
2010-08-02,231.9,238.7,231.6,237.9,237.9,472307
2010-08-03,238.5,238.8,235.7,237.8,237.8,388023
2010-08-04,237.3,238.6,234.9,238.3,238.3,341969
2010-08-05,238.9,243.7,238.5,243.3,243.3,631278
2010-08-06,248.0,255.4,248.0,250.9,250.9,1118246
