Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,57.5,58.5,57.3,58.5,58.5,690529
2010-01-05,58.5,60.55,57.9,60.3,60.3,1232439
2010-01-06,60.95,61.65,60.4,61.2,61.2,1166719
2010-01-07,61.8,63.4,61.1,63.0,63.0,1555228
2010-01-08,62.95,63.55,61.4,63.1,63.1,2162331
2010-01-11,62.9,63.5,61.45,61.6,61.6,1180577
2010-01-12,61.45,61.5,59.5,60.7,60.7,1209339
2010-01-13,60.45,60.7,59.35,60.7,60.7,1146055
2010-01-14,60.65,61.2,60.1,60.95,60.95,888272
2010-01-15,61.45,62.6,61.3,62.0,62.0,1358308
2010-01-18,62.1,63.05,61.6,62.3,62.3,580525
2010-01-19,61.95,62.05,60.95,61.85,61.85,760673
2010-01-20,61.4,61.75,60.3,60.75,60.75,862006
2010-01-21,61.0,61.35,60.1,60.25,60.25,959985
2010-01-22,60.95,61.5,59.05,59.6,59.6,973407
2010-01-25,59.2,59.9,58.35,58.75,58.75,696247
2010-01-26,57.9,57.9,57.0,57.5,57.5,1312484
2010-01-27,57.2,57.6,56.1,56.6,56.6,1146393
2010-01-28,57.25,57.6,56.8,57.1,57.1,1010073
2010-01-29,57.5,57.65,56.4,57.45,57.45,837010
2010-02-01,57.2,57.75,56.7,57.15,57.15,865095
2010-02-02,57.15,58.25,56.85,57.85,57.85,1365084
2010-02-03,58.2,58.2,57.55,57.8,57.8,737478
2010-02-04,57.8,57.95,55.8,55.9,55.9,730762
2010-02-05,56.3,56.3,54.1,55.1,55.1,1654187
2010-02-08,55.05,55.6,54.35,55.45,55.45,1133238
2010-02-09,55.25,55.85,55.1,55.55,55.55,604201
2010-02-10,56.0,56.1,55.1,55.25,55.25,837059
2010-02-11,55.75,56.3,55.3,55.95,55.95,726670
2010-02-12,56.3,56.45,53.6,54.05,54.05,1035373
2010-02-15,54.0,54.45,53.65,53.95,53.95,514805
2010-02-16,54.25,54.35,53.6,54.25,54.25,580964
2010-02-17,54.9,54.95,54.45,54.7,54.7,663666
2010-02-18,54.6,54.7,54.0,54.15,54.15,549034
2010-02-19,53.75,54.1,53.1,53.95,53.95,2039485
2010-02-22,54.2,54.45,53.85,54.2,54.2,742300
2010-02-23,54.5,54.65,53.7,53.9,53.9,920579
2010-02-24,54.2,54.2,53.15,53.5,53.5,699702
2010-02-25,53.05,53.7,52.35,52.75,52.75,778298
2010-02-26,53.05,53.4,52.55,53.4,53.4,905369
2010-03-01,54.3,55.2,53.85,54.1,54.1,872105
2010-03-02,54.95,55.0,54.25,54.5,54.5,1547597
2010-03-03,57.0,57.2,55.95,56.7,56.7,1865967
2010-03-04,56.25,56.9,56.1,56.6,56.6,716405
2010-03-05,56.85,58.05,56.65,57.5,57.5,1433495
2010-03-08,57.9,58.45,57.2,58.1,58.1,992558
2010-03-09,58.45,58.55,56.7,57.8,57.8,1034345
2010-03-10,58.0,58.85,57.7,58.6,58.6,883336
2010-03-11,58.5,58.55,57.65,57.8,57.8,726821
2010-03-12,57.75,58.2,57.35,57.4,57.4,719796
2010-03-15,57.2,57.4,56.75,57.05,57.05,585271
2010-03-16,57.5,58.75,57.05,58.55,58.55,1139593
2010-03-17,59.0,59.2,58.5,58.75,58.75,851679
2010-03-18,58.9,59.75,58.7,59.3,59.3,961179
2010-03-19,59.9,60.35,59.35,59.4,59.4,2037301
2010-03-22,59.2,59.4,58.3,58.7,58.7,760047
2010-03-23,58.7,60.05,58.65,59.45,59.45,739589
2010-03-24,59.35,59.85,59.1,59.6,59.6,762744
2010-03-25,59.9,60.2,59.7,60.0,60.0,804065
