Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,74.15,77.8,73.55,77.5,77.5,870494.0
2010-01-05,78.0,78.25,77.3,77.55,77.55,460333.0
2010-01-06,77.2,77.75,76.45,76.45,76.45,395995.0
2010-01-07,76.55,77.45,76.15,77.35,77.35,286334.0
2010-01-08,77.85,79.0,77.15,78.95,78.95,455809.0
2010-01-11,79.65,80.2,79.05,80.0,80.0,518346.0
2010-01-12,80.35,80.35,79.55,79.95,79.95,509409.0
2010-01-13,79.5,80.5,78.75,80.2,80.2,627861.0
2010-01-14,80.45,83.8,80.05,82.55,82.55,814322.0
2010-01-15,82.7,83.2,81.65,81.9,81.9,522908.99999999994
2010-01-18,82.5,82.65,80.7,81.4,81.4,345575.0
2010-01-19,81.1,81.2,79.25,80.25,80.25,435720.0
2010-01-20,80.05,81.65,79.8,80.6,80.6,392863.0
2010-01-21,80.7,80.85,78.6,78.95,78.95,437887.0
2010-01-22,78.95,79.4,78.2,78.9,78.9,410217.0
2010-01-25,78.55,79.4,78.35,79.05,79.05,340234.0
2010-01-26,78.5,80.3,78.45,80.05,80.05,442812.0
2010-01-27,79.65,79.9,78.9,79.45,79.45,329456.0
2010-01-28,80.3,80.4,75.35,75.5,75.5,894553.0
2010-01-29,75.5,76.3,75.1,75.65,75.65,455182.0
2010-02-01,75.45,77.1,75.2,76.85,76.85,295761.0
2010-02-02,77.0,77.45,76.4,77.1,77.1,286570.0
2010-02-03,77.45,78.6,76.5,78.25,78.25,351725.0
2010-02-04,78.65,78.7,76.65,76.9,76.9,424465.0
2010-02-05,76.1,77.15,75.7,75.9,75.9,448889.0
2010-02-08,76.3,76.45,74.8,75.05,75.05,472709.0
2010-02-09,75.05,76.85,74.85,76.0,76.0,419022.0
2010-02-10,76.15,76.35,75.25,75.75,75.75,382213.0
2010-02-11,76.45,77.05,74.95,75.85,75.85,427606.0
2010-02-12,76.4,76.4,74.4,74.85,74.85,457787.0
