Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,54.4,54.96,54.08,54.96,54.96,364075
2010-01-05,54.88,54.88,54.24,54.6,54.6,413775
2010-01-06,54.4,54.68,54.04,54.2,54.2,443125
2010-01-07,54.12,54.8,53.28,54.48,54.48,561075
2010-01-08,54.8,55.0,54.56,54.84,54.84,366250
2010-01-11,55.12,56.4,55.04,56.2,56.2,1013725
2010-01-12,56.4,56.56,55.44,55.44,55.44,1406750
2010-01-13,55.4,55.88,55.24,55.6,55.6,383725
2010-01-14,55.28,55.64,54.56,54.64,54.64,648175
2010-01-15,54.64,56.6,54.64,55.28,55.28,1637175
2010-01-18,55.6,56.16,55.44,55.56,55.56,407075
2010-01-19,54.6,56.0,54.28,55.56,55.56,682800
2010-01-20,55.56,56.16,55.16,55.56,55.56,633550
2010-01-21,55.48,55.96,54.92,55.04,55.04,411975
2010-01-22,55.0,55.28,54.24,54.52,54.52,382275
2010-01-25,54.56,54.72,54.0,54.08,54.08,498925
2010-01-26,53.52,54.2,53.4,54.08,54.08,471500
2010-01-27,54.0,54.32,53.76,54.24,54.24,774350
2010-01-28,54.48,55.08,54.2,54.28,54.28,595400
2010-01-29,54.32,55.2,53.88,54.84,54.84,592450
2010-02-01,54.84,54.84,54.12,54.56,54.56,264225
2010-02-02,54.6,55.32,54.2,55.2,55.2,405200
2010-02-03,54.88,55.44,53.88,54.28,54.28,548475
2010-02-04,54.2,54.4,53.2,53.4,53.4,585275
2010-02-05,53.08,54.2,52.32,53.36,53.36,900550
2010-02-08,53.56,53.84,53.12,53.8,53.8,354150
2010-02-09,53.96,54.12,53.36,53.76,53.76,404725
2010-02-10,54.48,54.48,53.28,53.28,53.28,618575
2010-02-11,53.2,54.24,53.12,53.92,53.92,814750
2010-02-12,54.4,54.72,53.52,54.08,54.08,521525
2010-02-15,54.08,55.08,54.0,54.44,54.44,412400
2010-02-16,54.96,54.96,54.2,54.52,54.52,295425
2010-02-17,55.12,55.4,54.64,55.16,55.16,308925
2010-02-18,55.32,55.32,54.88,55.24,55.24,284175
2010-02-19,55.04,56.56,54.8,56.52,56.52,1798825
2010-02-22,56.44,57.76,56.36,56.6,56.6,863400
2010-02-23,57.04,57.36,56.36,56.56,56.56,819025
2010-02-24,56.84,57.24,56.4,56.88,56.88,662175
2010-02-25,56.6,57.2,55.8,56.32,56.32,672325
2010-02-26,56.72,57.52,56.4,57.52,57.52,649450
