Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,132.1,136.0,132.1,135.8,135.8,186178
2010-01-05,135.6,139.5,134.3,139.5,139.5,334494
2010-01-06,140.0,141.0,137.5,139.2,139.2,204705
2010-01-07,138.5,145.8,137.8,145.2,145.2,539009
2010-01-08,146.6,150.8,143.6,144.7,144.7,657165
2010-01-11,150.0,159.3,149.5,152.7,152.7,932628
2010-01-12,152.9,153.6,148.1,151.0,151.0,448200
2010-01-13,147.8,150.5,144.8,146.3,146.3,457462
2010-01-14,144.5,145.8,141.8,142.8,142.8,416822
2010-01-15,142.2,143.9,139.3,139.9,139.9,393533
2010-01-18,140.9,141.2,138.2,140.8,140.8,176289
2010-01-19,140.2,141.4,138.3,141.2,141.2,265904
2010-01-20,141.4,143.0,137.3,138.3,138.3,390518
2010-01-21,138.7,138.8,135.0,135.0,135.0,251522
2010-01-22,133.3,134.4,130.9,133.3,133.3,242059
2010-01-25,131.3,135.6,131.2,133.5,133.5,273424
2010-01-26,132.0,135.5,131.0,134.9,134.9,247798
2010-01-27,134.2,136.6,132.7,135.6,135.6,385431
2010-01-28,137.2,139.1,133.3,134.0,134.0,413011
2010-01-29,134.2,136.2,132.6,135.1,135.1,346166
2010-02-01,133.7,136.0,133.1,135.4,135.4,126025
2010-02-02,137.0,139.9,136.1,139.6,139.6,342215
2010-02-03,139.6,140.8,137.4,137.9,137.9,192658
2010-02-04,137.9,141.8,136.3,136.8,136.8,428121
2010-02-05,135.2,136.7,130.8,132.3,132.3,332263
2010-02-08,133.5,134.8,125.2,128.3,128.3,378134
2010-02-09,127.8,130.0,127.0,127.8,127.8,177467
2010-02-10,129.5,131.1,128.5,130.7,130.7,267273
2010-02-11,131.1,132.5,128.8,130.6,130.6,169140
2010-02-12,131.7,131.7,126.5,128.9,128.9,327071
2010-02-15,129.0,132.2,129.0,131.8,131.8,164227
2010-02-16,132.5,133.2,131.2,133.0,133.0,175323
2010-02-17,134.0,136.2,133.6,135.8,135.8,126003
